Issue;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;;;;;;;;
ComplexClass;Runtime;No;;;;;;;;✅;✅;;;A complex class is a class containing complex methods. Again, these classes are hard to understandand maintain and need to be refactored [21]. The class complexity is calculated by summing the internal methods complexities. The complexity of a method can be calculated using McCabe’s Cyclomatic Complexity [27].;;educe the internal complexity of the class by simplifying complex methods. Use Cyclomatic Complexity (McCabe's metric) as a guide to refactor methods into smaller, well-defined methods. Apply design patterns like Strategy or Factory to delegate responsibilities.;*.java, *.kt;Warning;ComplexClass1.txt;ComplexClass2.txt;;A developer is creating a custom camera implementation that handles camera initialization, preview rendering, photo capture, video recording, image processing, and various camera settings. The class should deal with complex decision trees, nested conditions, and multiple execution paths to handle different device capabilities and user interactions.;;;;;;;;;;;;
InternalGetterSetter;Runtime;No;✅;✅;✅;✅;;;;✅;✅;;n/a?;"On Android, fields should be accessed directly within a class to increase performance. The usage of an internal getter or a setter con- verts into a virtual invoke, which makes the operation three times slower than a direct access . NOTE: As of Android 2.3 (Gingerbread), this optimization is performed automatically by Dalvik, so there is no need to change your code; this is only relevant if you are targeting older versions of Android.";;This issue is obsolete for Android versions 2.3 (Gingerbread) and above since the Dalvik runtime optimizes direct field access. If targeting very old versions, access fields directly within the class instead of using getters and setters to improve performance.;*.java, *.kt;Useless;InternalGetterSetter1.txt;InternalGetterSetter2.txt;;A developer is building a data model class for a user profile that contains various attributes like name, email, and preferences. Within the class's internal methods, they access class fields.;;;;;;;;;;;;
MemberIgnoringMethod;Runtime;No;✅;✅;✅;;;;;✅;✅;;;On Android, when a method does not access an object attribute, it is recommended to use a static method. The static method invocations are about 15%–20% faster than a dynamic invocation.;;Non-static methods that do not access any internal properties of the class should be made static in order to increase their efficiency;*.java, *.kt;Warning;MemberIgnoringMethod1.txt;MemberIgnoringMethod2.txt;;A developer is implementing utility functions in a Java Class. One method performs string formatting for display purposes, another validates input patterns, and a third calculates statistical methods over the data provided as input ;;;;;;;;;;;;
NoLowMemoryResolver;Memory;Yes;;✅;✅;;;;;✅;✅;✅;✅;When the Android system is running low on memory, the system calls the method onLowMemory() of running activities, which are supposed to trim their memory usage. If this method is not implemented by the activity, the Android system kills the process in order to free memory, and can cause an abnormal termination of programs ;;Implement the onLowMemory() and onTrimMemory(int level) methods in Activity and Application classes to handle low-memory situations. Free unnecessary resources, clear caches, and optimize memory usage to prevent unexpected app termination.;*.java, *.kt;Warning;NoLowMemoryResolver1.txt;NoLowMemoryResolver2.txt;; developer is creating an image gallery application that loads and caches multiple high-resolution images. The application implements Activity and Fragment lifecycle methods to load and show the gallery and individual photos;;;;;;;;;;;;
LeakingInnerClass;Memory;No;;✅;✅;✅;;;;✅;✅;;;In Java, non-static inner and anonymous classes are holding a reference to the outer class, whereas static inner classes are not. This could provoke a memory leak in Android systems;;Convert non-static inner classes to static inner classes or use WeakReference to avoid memory leaks. If an inner class requires access to the outer class, use a WeakReference<OuterClass> instead of a direct reference.;*.java, *.kt;Warning;LeakingInnerClass1.txt;LeakingInnerClass2.txt;;A developer is implementing a long-running background task that processes data and needs to update the UI when complete. Inside an Activity, they need to handle the background work.;;;;;;;;;;;;
UnsuitedLRUCacheSize;Memory;Yes;;;;;;;;;✅;;;in Android, a cache can be used to store frequently used objects with the Least Recently Used (LRU) API. The code smell occurs when the LRU is initialized without checking the available memory via the getMemoryClass() method. The available memory may vary considerably according to the device so it is necessary to adapt the cache size to the available memory;;When initializing an LRUCache, set its size dynamically based on available memory using ActivityManager.getMemoryClass(). This ensures the cache size adapts to different device specifications, preventing excessive memory usage.;*.java, *.kt;Warning;UnsuitedLRUCacheSize1.txt;UnsuitedLRUCacheSize2.txt;;A developer is building a news reader application that caches article images to improve scrolling performance, which suggest the need to use an LRU cache.;;;;;;;;;;;;
HashmapUsage;Memory;Yes;✅;✅;✅;✅;;;;✅;✅;;✅;the usage of HashMap is inadvisable when managing small sets in Android. Using HashMaps entails the auto-boxing process where primitive types are converted into generic objects. The issue is that generic objects are much larger than primitive types, 16 and 4 bytes, respectively. Therefore, the framework recommends using the SparseArray data structure that is more memory-eﬃcient;https://googlesamples.github.io/android-custom-lint-rules/checks/UseSparseArrays.md.html;Replace HashMap<Integer, Object> with SparseArray<T>, SparseIntArray, or SparseBooleanArray when working with primitive integer keys. This avoids auto-boxing and significantly reduces memory consumption.;*.java, *.kt;Warning;HashmapUsage1.txt;HashmapUsage2.txt;;A developer is implementing a feature to store and retrieve configuration settings with integer keys on memory;;;;;;;;;;;;
Overdraw;Energy;yes;;;;✅;;;;;;;;"If you set a background drawable on a root view, then you should use a custom theme where the theme background is null. Otherwise, the theme background will be painted first, only to have your custom background completely cover it; this is called “overdraw”. NOTE: This detector relies on figuring out which layouts are associated with which activities based on scanning the Java code, and it's currently doing that using an inexact pattern matching algorithm. Therefore, it can incorrectly conclude which activity the layout is associated with and then wrongly complain that a background-theme is hidden. If you want your custom background on multiple pages, then you should consider making a custom theme with your custom background and just using that theme instead of a root element background. Of course it's possible that your custom drawable is translucent and you want it to be mixed with the background. However, you will get better performance if you pre-mix the background with your drawable and use that resulting image or color as a custom theme background instead.";;Remove unnecessary background layers in XML or Java code. If setting a custom background on a root view, use a theme with a transparent background instead of layering multiple backgrounds. Pre-mix translucent backgrounds with images for better performance.;*.xml;Warning;Overdraw1.txt;Overdraw2.txt;; A developer is designing a custom list item layout for a RecyclerView. The layout includes a root FrameLayout, a CardView and an inner LinearLayout with background color. ;;;;;;;;;;;;
UIOverdraw;Energy;Yes;;;✅;✅;;;;✅;✅;;✅;a UI Overdraw is a situation where a pixel of the screen is drawn many times in the same frame. This happens when the UI design consists of unneeded overlapping layers, e.g., hidden backgrounds. To avoid such situations, the canvas.quickreject() API should be used to define the view boundaries that are drawable;;"Optimize layout design by removing overlapping UI layers. Use canvas.quickReject() to define drawable boundaries and prevent unnecessary rendering. Enable ""Show GPU Overdraw"" in Developer Options to detect excessive overdraw.";*.java, *.kt;Warning;UIOverdraw1.txt;UIOverdraw2.txt;;A developer is creating a custom view that draws a complex visualization with multiple layers of graphics. The implementation should draw all elements for every frame.;;;;;;;;;;;;
InvalidatewithoutRect;Runtime;Yes;;;;;;;;✅;✅;✅;;refers to a code smell that arises when rect to be redrawn is not specified while invalidating the view;; When calling invalidate(), specify a bounding rectangle (invalidate(Rect) or invalidate(left, top, right, bottom)) to redraw only the affected area instead of the entire view, improving performance.;*.java, *.kt;Warning;InvalidatewithoutRect1.txt;InvalidatewithoutRect2.txt;;A developer is implementing a custom view that displays real-time data visualization. When new data arrives, the view needs to be redrawn to reflect changes and evaluate when only a small section has changed.;;;;;;;;;;;;
UnsupportedHardwareAcceleration;Runtime;Yes;;;;;;;;✅;✅;✅;;On Android, most of the drawing operations are executed in the GPU. Rare drawing operations that are executed in the CPU, e.g., drawPath method in android.graphics.Canvas, should be avoided to reduce CPU load;;Avoid CPU-bound drawing operations like Canvas.drawPath() in performance-critical areas. Instead, use hardware-accelerated alternatives like ShapeDrawable, VectorDrawable, or OpenGL ES for complex graphics.;*.java, *.kt;Warning;UnsupportedHardwareAcceleration1.txt;UnsupportedHardwareAcceleration2.txt;;A developer is creating a custom drawing application that allows users to draw freehand paths;;;;;;;;;;;;
HeavyAsyncTask;Runtime;Yes;;;;;;;;✅;✅;✅;;refers to a code smell that arises when heavy operations are carried out inside an Async Task. Heavy operation is considered to be any operation that has computational complexity of greater than 10 (McConnel S. Code Complete).;;Offload heavy computations (e.g., complex loops, large database operations) from AsyncTask.doInBackground() to background worker threads using Executors, Coroutines, or WorkManager.;*.java, *.kt;Warning;HeavyAsyncTask1.txt;HeavyAsyncTask2.txt;;A developer is implementing an image processing feature that applies complex filters to photos and perform this task on the background;;;;;;;;;;;;
HeavyServiceStart;Energy;Yes;;;;;;;;✅;✅;✅;;refers to a code smell that arises when heavy operations are carried out inside a Service;;void running long or computationally expensive tasks inside Service. Use JobScheduler, WorkManager, or foreground services for long-running operations.;*.java, *.kt;Warning;HeavyServiceStart1.txt;HeavyServiceStart2.txt;;A developer is creating a music player service that needs to load and process audio files. He should build a service that should allow to populate the app by decoding audio files, building playlists, and initializing audio effects when the service starts.;;;;;;;;;;;;
HeavyBroadcastReceiver;Energy;Yes;;;;;;;;✅;✅;✅;;refers to a code smell that arises when heavy operations are carried out inside a onRecieve() function of Broadcast Receiver;;Keep onReceive() lightweight. Offload heavy processing to a background thread using IntentService, WorkManager, or JobIntentService. Avoid long-running computations in broadcast receivers to prevent ANRs.;*.java, *.kt;Warning;HeavyBroadcastReceiver1.txt;HeavyBroadcastReceiver2.txt;;A developer is implementing a broadcast receiver that responds to system events like connectivity changes. It should allow to perform network operations to check server status, update local databases, and synchronize data.;;;;;;;;;;;;
BitmapFormatUsage;Memory;Yes;;;;;;;;✅;;✅(divergent);;Bitmap Format Usage is a code smell that arises when images are represented as Bitmaps which is memory intensive function.;;optimize bitmap usage by using vector drawables (VectorDrawable) or WebP format instead of Bitmap. When using bitmaps, compress them using BitmapFactory.Options.inSampleSize and avoid loading full-resolution images unnecessarily.;*.java, *.kt;Warning;BitmapFormatUsage1.txt;BitmapFormatUsage2.txt;;A developer is building a photo gallery application that displays multiple high-resolution images. They should load images as Bitmap objects ;;;;;;;;;;;;
UnclosedCloseable;Memory;Yes;;✅;✅;;;;;;;;;A class that implements the java.io.Closeable interface is supposed to invoke the close method to release resources that an object is holding.;;Always close resources (like files, streams, or database cursors) by calling close() in a finally block or using Java’s try-with-resources;*.java, *.kt;Warning;UnclosedCloseable1.txt;UnclosedCloseable2.txt;;A developer is implementing a feature to read configuration data from a file.  A InputStream should be used to read the file contents ;;;;;;;;;;;;
CameraLeak;Energy;Yes;✅;;;;;✅;;;;✅;✅;android.hardware.Camera - Keeping the camera active without using it;;Always release the camera when it is no longer needed by calling camera.release() in onPause() or onDestroy(). Consider using Camera2API, which provides a more lifecycle-aware approach.;*.java, *.kt;Warning;CameraLeak1.txt;CameraLeak2.txt;;A developer is implementing a QR code scanner feature that uses the device camera. When the user navigates to the scanner screen, it should open the camera;;;;;;;;;;;;
MediaLeak;Energy;Yes;✅;;;;;✅;;;;✅;✅;Keeping the media recorder active without using it;;Always stop and release the MediaRecorder when finished recording using stop() and release() methods;*.java, *.kt;Warning;MediaLeak1.txt;MediaLeak2.txt;;A developer is creating a video recording feature that uses MediaRecorder, which should enable to start and top a video recording.;;;;;;;;;;;;
LeakingThread;Memory;No;;✅;✅;✅?;;;;;;✅;✅;In Android programming a thread is a garbage collector (GC) root. The GC does not collect the root bjects and, therefore, if a thread is not adequately stopped it can remain in memory for all the execution of the application, causing an abuse of the memory of the app. If an Activity starts a thread and does not stop it this is considered a design ﬂaw [18]. ADOCTOR detects this smell if a method of an Activity class starts a thread without stopping it through the stop method.;;Ensure that threads started within an Activity are properly stopped when the activity is destroyed. Use Thread.interrupt() or switch to HandlerThread, ExecutorService, or Kotlin Coroutines for better lifecycle management.;*.java, *.kt;Warning;LeakingThread1.txt;LeakingThread2.txt;;A developer is implementing a background task that periodically refreshes data from a network source. He needs to create a Thread in an Activity's onCreate() method to perform this task;;;;;;;;;;;;
LeakingHandler;Memory;No;;;✅?;✅;;;;;;✅;✅;"Since this Handler is declared as an inner class, it may prevent the outer class from being garbage collected. If the Handler is using a Looper or MessageQueue for a thread other than the main thread, then there is no issue. If the Handler is using the Looper or MessageQueue of the main thread, you need to fix your Handler declaration, as follows: Declare the Handler as a static class; In the outer class, instantiate a WeakReference to the outer class and pass this object to your Handler when you instantiate the Handler; Make all references to members of the outer class using the WeakReference object.";https://googlesamples.github.io/android-custom-lint-rules/checks/HandlerLeak.md.html;Declare handlers as static inner classes to prevent memory leaks. Use a WeakReference to reference the outer class;*.java, *.kt;Warning;LeakingHandler1.txt;LeakingHandler2.txt;;A developer is implementing a long-running background task that needs to update the UI periodically. He needs to create a Handler to post messages to the main thread;;;;;;;;;;;;
DataTransmissionWithoutCompression;Energy;No;;✅;;;;✅;;;;✅;✅;The smell arises when a method transmits a ﬁle over a network infrastructure without compressing it, causing an overhead of communication [18]. ADOCTOR detects the smell if a method performs an Http request involving an instance of the class File without using a compression library such as ZLIB2 or the APACHE HTTP CLIENT3.;;Compress files before transmitting over a network using Zlib, Gzip, or Apache HttpClient to reduce bandwidth usage;*.java, *.kt;Warning;DataTransmissionWithoutCompression1.txt;DataTransmissionWithoutCompression2.txt;;A developer is building a file-sharing feature that allows users to upload large files to a server. The upload functionality should use an HttpURLConnection;;;;;;;;;;;;
VacuousBackgroundService;Energy;Yes;;;;;;;;;;✅* many false positives?;✅;refers to an energy bug that arises when a service consumes resources in the background. Hence, a service should be stopped before the application goes to background in onStop method;;Stop services when the app goes into the background by calling stopSelf() in onStop(). Prefer JobScheduler, WorkManager, or Foreground Services only when necessary.;*.java, *.kt;Warning;VacuousBackgroundService1.txt;VacuousBackgroundService2.txt;;A developer needs to create a service to perform periodic data synchronization;;;;;;;;;;;;
LifecycleContainment;Energy;Yes;✅;;;;;;;;;✅;✅;refers to a code smell that arises when a listener is registered but not unregistered from activity;;Always unregister listeners in onPause() or onDestroy();*.java, *.kt;Warning;LifecycleContainment1.txt;LifecycleContainment2.txt;;A developer is implementing location tracking in an activity. The activity should create a LocationListener when created in order to receive location updates;;;;;;;;;;;;
EarlyResourceBinding;Energy;Yes;;;;;;;;;;✅;✅;refers to code smell that arises when heavy resources such as database connections, Camera, Media Player and Location Manager are initialized before they need to be used;;Delay initializing heavy resources (e.g., Camera, MediaPlayer, LocationManager, Database) until they are actually needed instead of initializing them early in onCreate().;*.java, *.kt;Warning;EarlyResourceBinding1.txt;EarlyResourceBinding2.txt;;A developer is creating a camera app. He should use the camera object in the main activity;;;;;;;;;;;;
ImmortalityBug;Energy;Yes;;;;;;;;;;✅* (does not check for foreground service);✅;refers to an energy bug that arises when an application re-spawns when it is not opened by the user. To detect this issues, calls to start a foreground operation like activity are removed from background operations like Services;; Prevent apps from restarting unnecessarily by removing auto-restart logic in background services. Avoid using START_STICKY unless necessary and ensure proper foreground service management.;*.java, *.kt;Warning;ImmortalityBug1.txt;ImmortalityBug2.txt;;A developer is implementing a background service for data syncing;;;;;;;;;;;;
RigidAlarmManager;Energy;Yes;;✅;✅;;;;;;;;;The AlarmManager class allows to execute operations at speciﬁc moments. Obviously, an Alarm Manager-triggered operation wakes- up the phone, possibly threatening the energy and memory efﬁciency of the app. It is recommended to use the AlarmManager.setInexactRepeating method, which ensures that the system is able to bundle several updates together [18]. Therefore, a code smell is identiﬁed by our detector if a class using an instance of AlarmManager does not deﬁne the method setInexactRepeating.;;Use setInexactRepeating() instead of setRepeating() to allow Android to batch operations and reduce power usage;*.java, *.kt;Warning;RigidAlarmManager1.txt;RigidAlarmManager2.txt;;A developer is creating a weather app that needs to update forecast data periodically. He decided to use AlarmManager;;;;;;;;;;;;
InefficientSQLQuery;Energy;Yes;;✅;;;;;;;;;;In Android, the use of a SQL query is discouraged as it introduces overhead, while other solutions should be preferred (e.g., using webservices) [18]. If a method deﬁnes a JDBC connection and sends an SQL query to a remote server, the smell is identiﬁed.;; Avoid direct SQL queries when possible. Prefer Room Database, SQLite with indexing, or Web services instead of raw SQL queries to minimize performance overhead.;*.java, *.kt;Warning;InefficientSQLQuery1.txt;InefficientSQLQuery2.txt;;A developer is implementing a feature to fetch user data from a remote database;;;;;;;;;;;;
DebuggableRelease;Energy;Yes;;✅;✅;;;;;;;;;In Android, the attribute android:debuggable of the AndroidManifest ﬁle is set during the development for debugging an app. Leaving the attribute true when the app is released is a major security threat since every external app can have full access to the source code. In this case, the detector simply parses the AndroidManifest ﬁle looking for the android:debuggable properties. If it is explicitly set to true, the smell is detected.;;"Ensure android:debuggable=""false"" in the AndroidManifest.xml file for release builds.";*.xml;Warning;DebuggableRelease1.txt;DebuggableRelease2.txt;; A developer needs to submit its app to the Google Play Store after making it debuggable ;;;;;;;;;;;;
InefficientDataFormatAndParser;Runtime;Yes;;✅;✅;;;;;;;;;When analyzing XML or JSON ﬁles, the use of TreeParser slows down the app, and thus it should be avoided and replaced with other more efﬁcient parsers (e.g.,StreamParser) [18]. In this case, ADOCTOR identiﬁes the smell by evaluating whether a method uses the TreeParser class.;; Replace Tree-based parsers (e.g., DocumentBuilder for XML, JSONObject for JSON) with stream-based parsers (XmlPullParser, JsonReader) for better performance.;*.java, *.kt;Warning;InefficientDataFormatAndParser1.txt;InefficientDataFormatAndParser2.txt;;A developer need to implement a feature to parse large XML configuration files in their app.;;;;;;;;;;;;
MemoizationChance;Runtime;No;✅;;;;;;;;;;;Methods that work as simple functions are good targets to exploit memoization for performance enhancement;;Implement memoization to cache function results, avoiding redundant computations;*.java, *.kt;Warning;MemoizationChance1.txt;MemoizationChance2.txt;;A developer is implementing a utility method that calculates the Fibonacci sequence for a specific position. The method uses a recursive approach that repeatedly calculates the same values for overlapping subproblems. This computation-heavy method is called multiple times with the same inputs during the application's lifecycle,;;;;;;;;;;;;
DynamicWaitTime;Energy;No;;;;;;✅;;;;;;This inspection identifies cases where the wait time between attempts to access a resource is constant. In those cases, the constant is changed to a dynamic value that grows with the number of attempts. It also considers the values used to put threads to sleep. <br>;;Implement exponential backoff instead of using constant wait times;*.java, *.kt;Warning;DynamicWaitTime1.txt;DynamicWaitTime2.txt;;A developer is creating a feature that polls a remote server for data availability. The implementation should try to get the data in several attempts before giving up and wait a while after each retry;;;;;;;;;;;;
InfoWarningFCM;Energy;Yes;;;;;;✅;;;;;; This inspection identifies cases where the method android.app.AlarmManager.setRepeating is used and adds a <i>TODO</i> to the source code to remind developers that it would be preferable to implement push notifications, rather than using a possible polling system. <br>;;Replace AlarmManager.setRepeating() (polling) with Firebase Cloud Messaging (FCM) for push notifications;*.java, *.kt;Warning;InfoWarningFCM1.txt;InfoWarningFCM2.txt;;A developer is implementing a notification system that needs to periodically check for updates from a server. ;;;;;;;;;;;;
PassiveProviderLocation;Energy;;;;;;;✅;;;;;; This inspection switches to a <i>LocationManager.PASSIVE_PROVIDER</i> when invoking the method <i>requestLocationUpdates</i> from the class <i>android.location.LocationManager;; Use LocationManager.PASSIVE_PROVIDER when location updates are needed but don’t require GPS;*.java, *.kt;Warning;PassiveProviderLocation1.txt;PassiveProviderLocation2.txt;;A developer is building a fitness tracking app that needs location updates just to display the current weather on the user area.;;;;;;;;;;;;
SSLSessionCaching;Energy;;;;;;;✅;;;;;;    This inspection applies the energy pattern https://tqrg.github.io/energy-patterns/#/patterns/Cache by attempting to increase the cache size of an SSL Session.    It identifies cases where the cache size is not already set to a specific value and removes any default ;;Increase SSL session cache size for better performance;*.java, *.kt;Warning;SSLSessionCaching1.txt;SSLSessionCaching2.txt;;A developer is implementing secure network communication in their app. THe app requires establishing HTTPS connections to their server all the time. ;;;;;;;;;;;;
URLCaching;Energy;;;;;;;✅;;;;;;This inspection identifies cases where no changes occur since the last update from an URL connection. It adds a <i>TODO</i> to the source code to remind developers that there is an opportunity to apply the energy pattern https://tqrg.github.io/energy-patterns/#/patterns/Cache;;Implement HTTP caching using HttpURLConnection;*.java, *.kt;Warning;URLCaching1.txt;URLCaching2.txt;;A developer is creating a news feed that fetches content from a remote server. Their implementation should use a HttpURLConnection for each refresh;;;;;;;;;;;;
CheckLayoutSize;Energy;Yes;;;;;;✅;;;;;;  This inspection ensures that a layout is not drawn when its measurements are zero.   This is specific to the usage of the class android.view.SurfaceHolder.;;Ensure layouts are not drawn if their measurements are zero when using android.view.SurfaceHolder;*.java, *.kt;Warning;CheckLayoutSize1.txt;CheckLayoutSize2.txt;;A developer is implementing a custom SurfaceView for rendering graphics.;;;;;;;;;;;;
