;Projissue;Projissue;;real_false_positive
PMD;AppendCharacterWithChar;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
PMD;AppendCharacterWithChar;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
PMD;AppendCharacterWithChar;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
PMD;AppendCharacterWithChar;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
PMD;AppendCharacterWithChar;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
Lint;UnusedResources;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;colors.xml;real_true_positive
aDoctor;LeakingInnerClass;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
aDoctor;LeakingThread;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_false_positive
aDoctor;SlowForLoop;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/FlappyBird;MainActivity.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/FlappyBird;MainActivity.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/FlappyBird;MainActivity.java;real_true_positive
Lint;LogConditional;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;LogConditional;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;MergeRootFrame;/Users/rar9993/AndroidStudioProjects/FlappyBird;activity_main.xml;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/FlappyBird;GameView.java;real_true_positive
aDoctor;LeakingThread;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;MainActivity.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;Bird.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_true_positive
PMD;TooFewBranchesForSwitch;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_true_positive
DAAP;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;MainActivity.java;real_false_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;GameView.java;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;MainActivity.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;MainActivity.java;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;PhotoDetailActivity.java;real_true_positive
DAAP;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;PhotoDetailActivity.java;real_false_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;MainActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;PhotoDetailActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;MainActivity.java;real_true_positive
aDoctor;LeakingInnerClass;/Users/rar9993/AndroidStudioProjects/GalleryApp;PhotoAdapter.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GalleryApp;PhotoAdapter.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GalleryApp;MainActivity.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GalleryApp;MainActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GalleryApp;MainActivity.java;real_true_positive
Lint;UnusedResources;/Users/rar9993/AndroidStudioProjects/GalleryApp;colors.xml;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTWeather;MainActivity.java;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTWeather;MainActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTWeather;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTWeather;MainActivity.java;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
aDoctor;SlowForLoop;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_false_positive
aDoctor;LeakingInnerClass;/Users/rar9993/AndroidStudioProjects/GPTGame2048;OnSwipeTouchListener.java;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTGame2048;OnSwipeTouchListener.java;real_false_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_false_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;Overdraw;/Users/rar9993/AndroidStudioProjects/GPTGame2048;activity_main.xml;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;OnSwipeTouchListener.java;real_true_positive
aDoctor;DataTransmissionWithoutCompression;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteDetailActivity.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteDetailActivity.java;real_true_positive
aDoctor;UnclosedCloseable;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteDetailActivity.java;real_true_positive
aDoctor;DataTransmissionWithoutCompression;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MainActivity.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MainActivity.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MainActivity.java;real_true_positive
aDoctor;DataTransmissionWithoutCompression;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteListActivity.java;real_false_positive
aDoctor;DataTransmissionWithoutCompression;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteAdapter.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteAdapter.java;real_false_positive
PMD;AvoidFileStream;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MainActivity.java;real_true_positive
PMD;AvoidFileStream;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MainActivity.java;real_true_positive
PMD;AvoidFileStream;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteDetailActivity.java;real_true_positive
PMD;AppendCharacterWithChar;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteDetailActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteDetailActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;MainActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTToDoNotes;NoteListActivity.java;real_true_positive
aDoctor;DataTransmissionWithoutCompression;/Users/rar9993/AndroidStudioProjects/ToDoNotes;FileUtils.java;real_false_positive
PMD;AvoidFileStream;/Users/rar9993/AndroidStudioProjects/ToDoNotes;FileUtils.java;real_true_positive
PMD;AvoidFileStream;/Users/rar9993/AndroidStudioProjects/ToDoNotes;FileUtils.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/ToDoNotes;FileUtils.java;real_false_positive
Lint;LogConditional;/Users/rar9993/AndroidStudioProjects/ToDoNotes;DriveServiceHelper.kt;real_true_positive
Lint;LogConditional;/Users/rar9993/AndroidStudioProjects/ToDoNotes;FileUtils.java;real_true_positive
Lint;LogConditional;/Users/rar9993/AndroidStudioProjects/ToDoNotes;MainActivity.kt;real_true_positive
Lint;UnusedIds;/Users/rar9993/AndroidStudioProjects/ToDoNotes;activity_note_edit.xml;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;InefficientWeight;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;activity_main.xml;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/GPTScientificCalculator;MainActivity.java;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/WeatherApp;MainActivity.java;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/WeatherApp;MainActivity.java;real_true_positive
aDoctor;SlowForLoop;/Users/rar9993/AndroidStudioProjects/WeatherApp;MainActivity.java;real_false_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/WeatherApp;MainActivity.java;real_true_positive
Lint;LogConditional;/Users/rar9993/AndroidStudioProjects/WeatherApp;MainActivity.java;real_true_positive
Lint;LogConditional;/Users/rar9993/AndroidStudioProjects/WeatherApp;MainActivity.java;real_true_positive
Lint;UnusedResources;/Users/rar9993/AndroidStudioProjects/WeatherApp;colors.xml;real_true_positive
Lint;UnusedResources;/Users/rar9993/AndroidStudioProjects/WeatherApp;colors.xml;real_true_positive
Lint;UnusedResources;/Users/rar9993/AndroidStudioProjects/WeatherApp;colors.xml;real_true_positive
Lint;UnusedResources;/Users/rar9993/AndroidStudioProjects/WeatherApp;colors.xml;real_true_positive
Lint;UnusedResources;/Users/rar9993/AndroidStudioProjects/WeatherApp;colors.xml;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;OrgConverter.java;real_false_positive
Lint;UselessParent;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;tutorial_slide3.xml;real_false_positive
aDoctor;SlowForLoop;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/Calculator-You;Util.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;BaseCityCursorAdapter.java;real_false_positive
aDoctor;LeakingThread;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;WeatherInfoActivity.java;real_true_positive
aDoctor;UnclosedCloseable;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;RemoteTaskList.java;real_false_positive
Lint;UselessLeaf;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;fragment_stats4.xml;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;WorldWeatherApplication.java;real_true_positive
PMD;AvoidCalendarDateCreation;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;OrgConverter.java;real_true_positive
aDoctor;LeakingInnerClass;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;CityListFragmentWithUtilityButtons.java;real_false_positive
aDoctor;LeakingInnerClass;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;WeatherInformationDisplayer.java;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;ThemedActivity.java;real_true_positive
PMD;AvoidArrayLoops;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;DialogMoveToList.java;real_false_positive
Lint;InefficientWeight;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;fragment_stats3.xml;real_true_positive
aDoctor;LeakingInnerClass;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;DeleteCityDialog.java;real_true_positive
PMD;UseStringBufferForStringAppends;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;MiscMethods.java;real_true_positive
Lint;UseCompoundDrawables;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;merged_weather_condition_views.xml;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;Notification.java;real_false_positive
aDoctor;SlowForLoop;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/Calculator-You;EvalContext.java;real_false_positive
Lint;UselessParent;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;fragment_stats3.xml;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/Calculator-You;Token.java;real_true_positive
aDoctor;DataTransmissionWithoutCompression;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;OrgProvider.java;real_false_positive
PMD;UseIndexOfChar;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;TaskDetailFragment.java;real_true_positive
Lint;UselessParent;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;activity_game.xml;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/Calculator-You;FunctionStack.java;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;CitySearchResultsDialog.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;MainActivity.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;EnterPersonalApiKeyFragment.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;GeneralDialogFragment.java;real_false_positive
PMD;UseStringBufferForStringAppends;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;TaskListFragment.java;real_true_positive
Lint;DisableBaselineAlignment;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;activity_game.xml;real_true_positive
SpotBugs;UnreadField;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/lato/p;LatoStage.java;real_true_positive
PMD;AvoidFileStream;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;DocumentFileHelper.java;real_true_positive
Lint;StaticFieldLeak;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;GetAvailableCitiesTask.java;real_true_positive
aDoctor;UnclosedCloseable;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;LegacyDBHelper.java;real_false_positive
PMD;UseStringBufferForStringAppends;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;Task.java;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;BaseCityListFragmentWithButtons.java;real_false_positive
Lint;UselessParent;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;fragment_stats2.xml;real_true_positive
PMD;AvoidFileStream;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;OrgProvider.java;real_true_positive
Lint;Overdraw;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;tutorial_slide1.xml;real_false_positive
Lint;RedundantNamespace;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/privacy-friendly-2048;activity_main.xml;real_true_positive
PMD;TooFewBranchesForSwitch;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;WeatherContentProvider.java;real_true_positive
aDoctor;LeakingInnerClass;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;CityUtilitiesCursorAdapter.java;real_false_positive
PMD;AppendCharacterWithChar;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;ItemProvider.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;JSONBackup.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;AppearancePrefs.java;real_false_positive
PMD;AddEmptyString;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/Calculator-You;UnitTest.java;real_true_positive
Lint;Overdraw;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;merged_temperature_and_city_views.xml;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;WorldWeatherApplication.java;real_true_positive
SpotBugs;ExplicitGarbageCollection;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/lato/p;GameManager.java;real_true_positive
DAAP;SlowForLoop;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;WeatherForecastParentFragment.java;real_true_positive
