Projissue;;;;;;Line;Col;Manual Classif;Reason;LLM classic;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `canMove` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;313; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `isGameOver` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;314; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `gameListener` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;315; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `gameListener` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;316; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/game2048;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `isMoving` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/game2048/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;322; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;SlowForLoop; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java; None; None;FALSE;Requires index access;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;AppendCharacterWithChar; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;80;56;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;AppendCharacterWithChar; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;86;37;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;AppendCharacterWithChar; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;91;37;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;AppendCharacterWithChar; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;101;45;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;AppendCharacterWithChar; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;101;76;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;AppendCharacterWithChar; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;105;64;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/ScientificCalculator;UnusedResources; Performance; Warning; Lint;The resource `R.color.purple_200` appears to be unused;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/app/src/main/res/values/colors.xml;3; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;LeakingInnerClass; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java; None; None;FALSE;It will not outlive the outer class;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;LeakingThread; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java; None; None;TRUE;In case of crash;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java; None; None;FALSE;There isn’t any;FALSE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SlowForLoop; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java; None; None;FALSE;Does not iterates over a collection;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/MainActivity.java; None; None;FALSE;There isn’t any;FALSE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;30;20;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;32;21;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;66;17;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;484;17;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;LogConditional; Performance; Warning; Lint; The log call Log.d(...) should be conditional: surround with `if (Log.isLoggable(...))` or `if (BuildConfig.DEBUG) { ... }`;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;305; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;LogConditional; Performance; Warning; Lint; The log call Log.d(...) should be conditional: surround with `if (Log.isLoggable(...))` or `if (BuildConfig.DEBUG) { ... }`;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;440; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;MergeRootFrame; Performance; Warning; Lint; This `<FrameLayout>` can be replaced with a `<merge>` tag;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/res/layout/activity_main.xml;2; None;FALSE;Cannot be done to activities;FALSE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `bottomPipeBitmap` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;495; None;;;;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `topPipeBitmap` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;499; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `scaledPipeWidth` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;501; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `paint` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;502; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `screenHeight` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;507; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `bottomPipeBitmap` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;509; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `scaledPipeWidth` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;511; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `bottomPipeBitmap` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;512; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `paint` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;516; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `scaledPipeWidth` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;518; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `paint` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;519; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `scaledPipeWidth` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;522; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `paint` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;523; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `scaledPipeWidth` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;530; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/FlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `scaledPipeWidth` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/FlappyBird/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;532; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;LeakingThread; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java; None; None;TRUE;;TRUE;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java; None; None;FALSE;Used to override behaviour;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/Bird.java;14;17;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;RedundantFieldInitializer; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;22;21;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;TooFewBranchesForSwitch; PERFORMANCE; None; PMD; None;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;74;9;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;MemberIgnoringMethod; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `playing` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;37; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `update` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;38; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `drawCanvas` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;39; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;SyntheticAccessor; Performance; Warning; Lint; Access to `private` field `handler` of class `GameView` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;40; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/app/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;MemberIgnoringMethod; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;SyntheticAccessor; Performance; Warning; Lint; Access to `private` method `setupRecyclerView` of class `MainActivity` requires synthetic accessor;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;48; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GalleryApp;LeakingInnerClass; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GalleryApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java; None; None;FALSE;;FALSE;;
/Users/rar9993/AndroidStudioProjects/GalleryApp;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GalleryApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GalleryApp;MemberIgnoringMethod; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GalleryApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java; None; None;FALSE;;;;
/Users/rar9993/AndroidStudioProjects/GalleryApp;NoLowMemoryResolver; PERFORMANCE; None; aDoctor; None;/Users/rar9993/AndroidStudioProjects/GalleryApp/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java; None; None;TRUE;;;;
/Users/rar9993/AndroidStudioProjects/GalleryApp;DroppedData; PERFORMANCE; None; DAAP; None;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java; None; None;TRUE;;;;
